,business_name,response_text
40,מכולת האחים,"{'displayName': 'מכולת האחים', 'primaryType': 'grocery_store', 'biz_reviews': ['Very pleasant and even more delicious\nHighly recommended', 'Convenient opening hours. Good selection of products.', 'very kind 👌', 'MISSING_REVIEW', 'MISSING_REVIEW'], 'business_name': 'מכולת האחים'}"
41,המאפיה אלנבי,"{'displayName': 'The Bakery', 'primaryType': 'bakery', 'biz_reviews': [""I'm a Singaporean who visited Israel for the first time.\nIf you want to eat solid bread at affordable prices, please visit this place! 100% recommend. This bakery served really fresh and nice pastries and pizza bread.\nDrinks were delightful too."", 'Nice and original bakery in Tel Aviv with an original way of getting the product. A self service way that makes you feel home!\nCoffee is also good.', '10 shekels for a coffee and baked item is a good deal. Great taste and selection. Their breads are really good as well.', ""What a wonderful bakery! I'm almost angry at myself for not finding this place until my last day in Tel-Aviv. Although we weren't entirely sure what we were getting, the staff were very outgoing and helpful, pointing us to some of the most delicious stuff I had eaten during my entire trip to Israel, which was not an easy feat.\n\nAnd though I can't remember what it was I ate, just get whatever. I'm sure it's all great. I'd love to check this place out again next time I visit!"", 'This is basically a takeout bakery but there is a nice salad bar and sandwiches are also available. The baked goods were delicious and the salad was fresh. I wouldn’t consider it a cafe but there are a few stools outside.'], 'business_name': 'המאפיה אלנבי'}"
42,הסטוק ב.ס.ר פתח תקוו,"{'displayName': 'הסטוק מגדלי ב.ס.ר', 'primaryType': 'home_goods_store', 'biz_reviews': ['We came especially to see what the talk is about, nothing special and not the cheapest either, there is a variety of products but in my opinion Max Stock is cheaper, the service is reasonable', 'Petah Tikva branch stock store was built inside the new business area in Sir City.\nThe store is large and spacious, there is a wide variety of different items in everything related to the home. From bathroom accessories to work tools. Everything is there.\nAnd for the most part, the products change frequently, and what you saw a week ago may no longer be there when you come a week later. There is a super cart to collect the goods. There is no help from a service or sales representative to answer your questions, you are alone with yourself.\nI was in the early morning.\nThere were individual customers.\nOne cashier. went fast\nOverall very reasonable.', ""Nice store but the staff is terrible, maybe because I arrived at 5:00 p.m., I asked for help from the service staff and instead of helping, they just pretended they didn't see or hear and ran away to another place, the cashier did a favor by moving the products, I said goodbye and she gave me a very angry look And I really didn't do anything.\nIn short, a service experience beyond all criticism"", ""We arrived on Saturday at 20:00 as listed in the hours of operation and the store was closed.\nWe waited until 20:30 and the store was still closed.\nIt's a shame they don't take care to update the hours of operation and let customers arrive in vain."", ""I didn't like a small branch without things""], 'business_name': 'הסטוק ב.ס.ר פתח תקוו'}"
43,כל בו עלית,"{'displayName': 'כל בו עילית', 'primaryType': 'store', 'biz_reviews': [], 'business_name': 'כל בו עלית'}"
44,ניסו,"{'displayName': 'Nisso', 'primaryType': 'cafe', 'biz_reviews': [""We ordered some breakfast. Isreal breakfast and Shakshuka along with coffees.  Place seems to be popular with a lot of people. Taste was quite good, but you need to make sure they understand you and bring you the exact things you ordered. We paid for breakfast the same amount of money as for a lunch which is quite a lot. We've been given some water for free, but these yellow cups weren't that clean."", 'Terrific ambiance. Good food - but slooowww to come. Great vegan selection. Abhorrent bathrooms.\n\nTwo friends and I found this place by chance and were happy with our luck.\n\nThe vegan menu is abundant and creative.\n\nI ordered the beet burger with potatoes. The burger itself wasn’t as flavorful as I had hoped, the buns weren’t toasted and the potatoes weren’t as golden brown as I like, but the dish was fine.\n\nIt took a while for the food to arrive and it seems like a recurring issue in this establishment.\n\nThe service was friendly and courteous, but once the food was served, we turned invisible.\n\nThe music of choice was fine, except it was quite repetitive and monotonous.\n\nWhatever this restaurant lacks it makes up for with a cool ambiance and great clientele.\n\nThe seating is outdoor. The tables are quite small for the size of the dishes.\n\nOne of my friends was celebrating a birthday, but the restaurant didn’t have a sparkler. No biggy.\n\nThis is a place you go to to chill out in a cool ambiance, not for the service or food (which are fine).\n\nSomeone should teach the management about the relationship between clean bathrooms and appetite. Because of the amount of clientele, the bathrooms need tending to more often.\n\nAll in all - a good experience.', 'RUN RUN RUN that fine place is it gonna wait for you sorry for my late blooming but you are going to enjoy there!!  The coffee is out of this world the Pastries are amazing and I so a juicy burger next to, so I came into a conclusion that is the place for every scenario -\nfor chatting / morning routine / hunger / dessert / going out / date\n\nThey even have merchandise of the place that looks wearable and people will complement them.\n\n( again sorry for eating first and than shooting )', 'Omg! They really make heavenly meals. Perfect in evrey way. I cannot wait to come back. The service was superb. Dog friendly. Sitting is so good plentiful and comftable. Very busy place. Well done friend, this is the right way to run a place.', 'So-so, croissants were not fresh and tasty, even cheese were not heated, too loud and powerful fans, not so much tables for seat. Not the best choice for breakfast.'], 'business_name': 'ניסו'}"
45,פוד אפיל רמת גן,"{'displayName': 'פוד אפיל food appeal - רמת גן', 'primaryType': 'furniture_store', 'biz_reviews': ['A shocking experience!!!\nHodia, the ""responsible"" in the store, left behind a lovely child, but a child who was not allowed and knew almost nothing to do, which caused me and another half of the customers in the store to be stuck for over an hour and a half for a credit or product exchange.\nWhen I called her she just hung up, rude.\nPeople like Hodia (who put a bar on us) don\'t deserve customers!!\nNot going back there even if they give out money for free!!\nshame shame shame', ""shine I bought a few thousand shekels and among them a set in which every part is damaged. There is no one to talk to. They don't answer even though they promise.\nAnd if they answer everything in a wretched and horrifying way and place the blame on the customer, then disappear.\nShocking, just consider where your money is invested and contact someone who will provide service if you buy defective products. Crooked pots that the lids do not cover. Rust and dents. Just stay away and go to a normal place that has quality and service"", 'I bought a defective product, customer service does not exist. By the time they ""agreed"" that I would bring the product to the branch, it was closed. Opening hours 9:30. Taken at 10:15 I waited 10 minutes and left.\nI came back after a week and they simply told me that the product is fine and I\'m not using it correctly. I recommend staying away, they lost me as a customer who buys everything from them.', ""I do not recommend buying from them. I received a defective product and they have no customer service. They only refer to the bot, promise to return within 2 business days, in practice it doesn't happen.\nI contacted a number of times, I tried every call option including phones to all the branches (which they also have nothing to do and just say to wait for them to get back to me).\nIn short, to avoid."", 'The seller is charming and patient. The problem is the strange goods: not a single (!) pot/pan is suitable for the dishwasher and the multi-handles get hot and cause burns. Not useful in the end.'], 'business_name': 'פוד אפיל רמת גן'}"
46,סופר פארם קניון ביאל,"{'displayName': 'Super-Pharm', 'primaryType': 'drugstore', 'biz_reviews': [""There are unpleasant pharmacists there, with broken Hebrew and they behave rudely to customers. Avoid going there as much as you can, there are many other pharmacies around.\n\nThe most repulsive of all is a pharmacist named Baha Haj Asad\n\nSigns a prescription as if issued and when a problem with the payment method is discovered, it refuses to cancel the signature, leaving you with a prescription that was not supplied, but is considered to have been supplied.\n\nI have no intention of letting this incident stop here and I will ensure that the man is treated accordingly by his employers and in general, if you don't have to, avoid coming to the pharmacy in Bialik Mall, Superpharm on the second floor.\n\nContinue to import"", 'I had some free time, I went into the store, a beauty consultant Irena lacked tact, a disgruntled woman threw a comment and an unprofessional attitude, she said how ""she likes these people who come and try perfume and use the tester that it is intended for and walk around the store for 3 hours!"" in a really cynical and disgusting way. And I did buy other things that I needed and if I felt like it I could hang around for 3 hours and I was there maybe half an hour. People like that didn\'t say to work in a place that provides service really ruined my evening. Besides, they charged me full life for something that was on discount.', 'Disgusting service, the entire staff of the saleswoman and Katya in particular a girl who claims to be the manager of the branch were treated in a blasphemous manner!!! To my mother, instead of providing service in a respectful and pleasant manner (as a service provider should behave), they only made faces and were not ready to help at all, Niha said they were not ready to help, but their behavior towards her and especially Katia who claimed (shouted) that we were not in the market (even though my mother actually asked If because the product seemed to her to be defective, is it possible to make a discount? I will never return to this branch.', ""to the face I came to change the color of a ruby \u200b\u200band they wouldn't let me change it. They told me that because it was bought in another branch, I can't exchange it, and that it's open (it was only bought because they don't have testers, the seller told me that I can only exchange it). More than that, Irena, who works in cosmetics, started rolling her eyes and raising her voice in an unacceptable way, and also a shift manager who was called Atzil tried to check first how much I paid. What does it matter how much I paid (by the way I paid full price) good. what to do My last purchase was NIS 450. They lost a customer. There is no shortage of places to shop."", 'I experienced no service, I came to buy a corona test kit, at a pharmacy they directed me to the cash registers at the cash registers they referred me back to the pharmacist. I was looking for a shift manager, they said she was not found. I left as I came. rope'], 'business_name': 'סופר פארם קניון ביאל'}"
47,מיני משתלה,"{'displayName': 'מיני משתלה', 'primaryType': 'farm', 'biz_reviews': ['Plant store where most plants are 50nis or less. Great selection, lots of plants, pots and accessories. Very busy on Friday.', ""For 20 NIS, the happiest pothos I've seen in a while"", 'Used to be lovely experience in this place... But unfortunately today there was a very rude assistant outside...too bad', 'Very affordable and a large selection of plants. Best place for plants nearby.', 'Great service! Great plants. Highly recommended.'], 'business_name': 'מיני משתלה'}"
48,עלי דפנה,"{'displayName': 'עלי דפנה - חנות פרחים', 'primaryType': 'florist', 'biz_reviews': ['Beware!!!!!!!\nNo-Value for money, they will take from you a lot of money for a very poor product!!! It will be easier for you to throw out 200 shekels from the window.', 'WONDERFUL SHOP . HAS ALL THE FLOWERS EVEN THE MOST EXOTIC. FAIR PRICES. FRESH FLOWERS AND PLANTS. WELL KEPT. WORTH A VISIT', 'Wow! I ordered flowers w/wine & chocolates to have delivered to my sister in Tel Aviv on the night of her art opening. I totally forgot about the time difference and did not plan my order well, but wow- they delivered a gorgeous gift super quick, so that it was waiting on her doorstep within hours of my order and on the same date as her opening. She sent me a photo and the bouquet looks absolutely beautiful! So glad we could get her a gift that is so lovely, so quickly, and at a very reasonable price. Will definitely order from them again!', 'good flowers match the description, but delivering was very late. at the end of the day. it was a birthday and the anticipation was terrible. we all waited for our flowers to be delivered and the Birthday person would know that we love her and remember her. Moreover, the order was placed a couple of days in advance. not at the last moment. If you need to be on time- do not recommend.', 'Easy and friendly shopping experience online, making it easy to do from overseas. Quick responses via WhatsApp in English to answer questions. Gorgeous flowers. Will definitely buy from this friendly neighborhood florist again!'], 'business_name': 'עלי דפנה'}"
49,בי פרש קניון גבעתיים,"{'displayName': 'B-Fresh', 'primaryType': 'juice_shop', 'biz_reviews': ['#Vegan\nI had a nice cold smoothie based on orange juice and included several tropic fruits.\n\nThey have lots of vegan options.\n\nM size cup costed 26 shekel.\n\nThe staff was polite.\n\nThey have a free wifi.', ""The place itself has good stuff. But the employees try to cheat their customers.  I ordered a medium drink and they put 3 ice cubes because it wasn't full. And it took almost half space there. So I wasted money on ice cubes lol"", 'TL;DR totally recommend!\nIf you\'re looking for a nice smoothie, fruit shake, squeezed juice or just a yogurt - this is definitely your place! Plenty of wonderful tastes to choose from. You can find your drink whether you like healthy stuff, or ""not so healthy"" ;)', 'Cute place, but 23 for a small cup is a Robbery.', 'On the one hand they are much better than Rebar, which essentially means they are the best in this location for shakes. On the other hand, it took a really long time to prepare one shake, when we were one of only two customers and they had 4 employees.'], 'business_name': 'בי פרש קניון גבעתיים'}"
50,77 TO סופרמרקט,"{'displayName': 'City Market', 'primaryType': 'supermarket', 'biz_reviews': ['Bigger than expected. Lovely vibe at 04:00 in the morning.', 'Open 24/7 with a large selection of goods, from vegetables to cleaning supplies.', 'always taking care of the prices... 24/7 ...what else could you want/need', 'Love the shop good viraitis not the chipest bud good prodacts', 'Good variety but more expensive than regular'], 'business_name': '77 TO סופרמרקט'}"
51,טכנו ויליאם,"{'displayName': 'טכנו ויליאם', 'primaryType': 'store', 'biz_reviews': ['Very expensive!!\nPrices are 2-3 times higher than other shops.', 'William the owner champion. Years of knowledge. Always with an attentive smile and ready to help. Cheaper prices than the chains. Highly recommended', 'Always have what I need. Durable products. They know what I need even though I have no idea. professionals', ""A huge selection of everything you need to repair at home.\nI called to check if he was coming to make repairs, I got an answer that yes, but there is no reason why I shouldn't do it myself.\nI arrived at the place and bought the broken part + a detailed explanation of how to fix it yourself.\n\nGeneral William is out"", 'Professionals and services above and beyond! We came to duplicate keys for the clinic, they enlarged them and even came with us to the clinic to check that it really works as it should and opens, and if all this is not enough, they also brought us two spare keys at their expense!'], 'business_name': 'טכנו ויליאם'}"
52,התאומים בשוק,"{'displayName': 'מינימרקט התאומים', 'primaryType': 'grocery_store', 'biz_reviews': ['MISSING_REVIEW', 'MISSING_REVIEW', 'MISSING_REVIEW', 'MISSING_REVIEW', 'MISSING_REVIEW'], 'business_name': 'התאומים בשוק'}"
53,עלי קרוואן,"{'displayName': 'Abu Hassan', 'primaryType': 'restaurant', 'biz_reviews': ['The service is very friendly and super fast. They are all so sweet at the restaurant and very helpful when we had to take the stroller inside as there were no tables available outside. We told the person it was our first time, he asked us if we had any allergies and ordered for us. Just be aware that their portion size is big and 1 order of hummus should do for a group of 4. As expected it was all melt in your mouth goodness! It’s just .4 miles ~9 minutes walk to the clock tower.', 'Typically Arabic hospitality - people shouting, very welcoming and honest. The food was excellent even though I thought their foul need more salt. Their lemonade was the best I’ve ever had and the prices are fair. I would give more star if there was some kind of music. Highly recommend!', 'Lightest, fluffiest & really tasty hummus (for sure one of the best ones we’ever had) - both the normal and the mashabacha one. Falafel were extremely good, same goes for the lemonade. Cheap, fast eats at its finest! Long queue, fast sitting and (probably) table sharing in most cases. Good staff, and while the place felt a little noisy and hectic, that also adds to the experience! A great find!', 'I got recommended by an Israeli friend. Local place with very good hummus. I was also surprised by how good their fries are! Never thought hummus, falafel and fries could be a good combo.\nDefinitely worth to go', 'Abu Hassan is the single best hummus restaurant in Tel Aviv. It is simple, quick, and amazingly tasty. The hummus is so tasty, in fact, that you’re unlikely to even notice the sub-optimal service. Don’t overstay at your tables though; when you finish, get moving so others can have their turn at hummus.'], 'business_name': 'עלי קרוואן'}"
54,לחם תושיה-נורית סטול,"{'displayName': 'Lechem Tushia', 'primaryType': 'bakery', 'biz_reviews': ['Please dont sell Ziv cookies with fungi.', ""It's good"", ""Excellent breads, delicious cookies and pleasant service. It's just a shame that the coffee and cakes are not served to the tables."", 'Courteous service, you can also stop for coffee and pastry. Excellent quality breads and baked goods. Highly recommended', 'A healthy and non-contradictory corrupt selection. Prices accordingly. Pleasant service. Recommends light tuna salad and 100% rye bread'], 'business_name': 'לחם תושיה-נורית סטול'}"
55,עלי קראוון,"{'displayName': 'Abu Hassan', 'primaryType': 'restaurant', 'biz_reviews': ['The service is very friendly and super fast. They are all so sweet at the restaurant and very helpful when we had to take the stroller inside as there were no tables available outside. We told the person it was our first time, he asked us if we had any allergies and ordered for us. Just be aware that their portion size is big and 1 order of hummus should do for a group of 4. As expected it was all melt in your mouth goodness! It’s just .4 miles ~9 minutes walk to the clock tower.', 'Typically Arabic hospitality - people shouting, very welcoming and honest. The food was excellent even though I thought their foul need more salt. Their lemonade was the best I’ve ever had and the prices are fair. I would give more star if there was some kind of music. Highly recommend!', 'Lightest, fluffiest & really tasty hummus (for sure one of the best ones we’ever had) - both the normal and the mashabacha one. Falafel were extremely good, same goes for the lemonade. Cheap, fast eats at its finest! Long queue, fast sitting and (probably) table sharing in most cases. Good staff, and while the place felt a little noisy and hectic, that also adds to the experience! A great find!', 'I got recommended by an Israeli friend. Local place with very good hummus. I was also surprised by how good their fries are! Never thought hummus, falafel and fries could be a good combo.\nDefinitely worth to go', 'Abu Hassan is the single best hummus restaurant in Tel Aviv. It is simple, quick, and amazingly tasty. The hummus is so tasty, in fact, that you’re unlikely to even notice the sub-optimal service. Don’t overstay at your tables though; when you finish, get moving so others can have their turn at hummus.'], 'business_name': 'עלי קראוון'}"
56,"הודיס בע""מ-גמא","{'displayName': 'הודיס Hoodies', 'primaryType': 'clothing_store', 'biz_reviews': [], 'business_name': 'הודיס בע""מ-גמא'}"
57,"ע.נ.מ. מסעדות בע""מ -","{'displayName': 'י.י.א. לימונדה בע""מ', 'primaryType': 'restaurant', 'biz_reviews': ['Good and tasty food'], 'business_name': 'ע.נ.מ. מסעדות בע""מ -'}"
58,המקום הראשון בבורסה,"{'displayName': 'Sabih Frishman Branch Exchange', 'primaryType': 'restaurant', 'biz_reviews': ['Delivery review:\nWe have ordered two ""sabih complete"" in a pita bread (one was a GF pita) and two falafel balls and two potato egg rolls (""Cigars"") on the side. Everything we have ordered arrived well and quickly. The food itself was sooooo delicious and fresh!! We enjoyed every bite of it. Very much recommended branch of Sabih Frishman.', 'Amazing and kind people ! Very delicious sabih.', 'Very good Falafel, nice staff and everything seems fresh and clean. Highly recommended', 'Best falafel in town!', 'The vegetables are fresh, very courteous service.'], 'business_name': 'המקום הראשון בבורסה'}"
59,GETT,"{'displayName': 'Gett', 'primaryType': 'corporate_office', 'biz_reviews': ['Horrible and irresponsible company that allows drivers to overcharge the customers.\nIt’s the first time I travel to Israel and the place gave me terrible impression. I was charged for 286 and found out the real price is 160, the driver overcharged me crazily.\nAnd this happened on my return ride to the airport, for a 15min ride, I was charged 180, and found out the real price is 90. I contacted Gett, yet I haven’t heard back from them, it’s been 3 weeks.\nEvery time I requested Gett to investigate and stop the fraud, they just ignored saying “the drivers are not our employees and we are not responsible..you do as you wish but we are responsible for the fraud”\nThis is so shameful. I will never want to travel there again, such a terrible place full of frauds!\nShareholders of Gett should fix this problem. Companies with broken value systems will never go any further.', 'Very bad experience during my last trip to Israel. The price to the airport from Tel Aviv is Nis 150, but Gett driver charged Nis 250. Huge mistake that I will avoid in the future..', 'Drivers take advantage of tourists and go a long way past the drop off and won’t stop and turn around until you catch them. Even then they come up with some excuse and still continue to over extend the ride to increase the fare. Gett customer support just creates more false excuses and supports the fraudulent driver activity. And the country kicked out Uber so unfortunately you are stuck with this taxi company unless you know how to navigate the buses and trains.', 'Gett prepared ""nice"" surprise for ones whose credit card is expired. They charged 50 schekels for checking validity of the card. The customer service promised to return the amount during next 5-7 days. Waiting...', 'Absolutely horrible experience, will delete app immediately!! I took a taxi ride from raanana to kfar saba during the week and during the day, the counter said 50 when arriving (expensive but expected). I get off the taxi and receive a digital receipt of 80 SHEKELS!!!!!!! The driver tried to rip me off!!!! I contacted their “customer service” through the app and got an answer 3 hours later which was pretty shameful, telling me that there was nothing that could be done unless the driver admitted to this. I didn’t let go and kept on writing them non stop until the girl talking to me finally got a hold of the driver who insisted he mistakenly charged me 80 instead of 60 (wrong again!). I was eventually refunded but felt absolutely disgusted by the entire experience. Turns out gett drivers are often making these “mistakes”. Don’t use this app if you don’t want your money stolen from you. They have so much to learn from competitors.'], 'business_name': 'GETT'}"
60,לאטי משה ובניו,"{'displayName': 'לאטי משה ובניו,אטליז מהדרין', 'primaryType': 'wholesaler', 'biz_reviews': ['Definitely affordable prices\ngood service\nI bought a frozen box (NIS 55) 4 stars.', 'Fresh and high-quality meat. Really good prices. Their ready-made kebab is the tastiest there is. Comes to hope just for him', 'Hello everyone\nYesterday was a gathering night with meat lattes, we were pampered like never before. High quality, plentiful, and delicious, highly recommended.\nCeramic mop\nRishon Lezion branch\nThank you very much.', 'Renovated, clean store, premium products with the best kosher, fast and kind professional service, there is an option for deliveries.', 'Butcher if a large selection of fresh poultry meat and frozen fish and excellent service and above'], 'business_name': 'לאטי משה ובניו'}"
61,"מי רמת גן- הו""ק","{'displayName': 'מי רמת גן', 'primaryType': 'government_office', 'biz_reviews': ['Disgusting attitude to work. If, when I moved to a new flat, a very competent and cultural employee worked with me... then I was just in shock: For a very long time I have not received water bill, and my calls and several trips to them did not give any result. Each time they promise to resolve the issue, each time it ends with payment via telephone or on-site in the office. Months ... months!', ""I've been trying to contact them to transfer the ownership of an account and close the outstanding amounts. Can't do it online and the call center is useless, waited for over 18 minutes in line only to 'leave a number'.\n\nThis is a joke, a bad one."", 'This place is a real RIP OFF and What They Are Calling Service is nothig but a ONE BIG SCHEME! I called many times and tried to speak to a person and the message programmed after you press the right number to speak to a person ""the message is asking you to wait and then after a while asking you to leave your number"" and that\'s it. After I had no choice I have left my number and no one ever got back to me and only once ""although the caller id showed the water company"" the person named Hadasa said she\'s from Iriyat Ramat Gan Arnona Dpet. and after I\'ve asked her to talk to the Water Company she has promissed that someone will get back to me and NO ONE EVER GOT BACK TO ME! THIS IS SICK AND BAD SERVICE AND PEOPLE ARE VERY RUDE OVER THERE!!! MY ONLY HOPE IS THAT KARMA WILL TAKE CARE OF EACH AND EVERY ONE OVER THERE!\nIf I’ve helped, thank you for clicking the “LIKE” button!\nMy Ratings: Price $$$ (comparing to what we are getting and service)\nService 0*, Comfort 3*, Bathroom 3*\nA SPECIAL DUNG AWARDS &#128169;&#128169;&#128169;', ""All I want to do is close out the bill at my old apartment and transfer my new apartment in my name, their online form does not work and gives me errors, THEY DO NOT ANSWER THE PHONE, one time they answered and said they would call back and never did.  ABSOLUTELY USELESS.  I have no idea what to do, they just don't answer."", 'This company is unreachable in any way, please avoid moving to Ramat Gan just in order to not handle with this ""company"", literally just trying to steal money and give 0 service or answer any of your inquiries'], 'business_name': 'מי רמת גן- הו""ק'}"
62,קפה הרואה,"{'displayName': 'קפה הראה רמת גן', 'primaryType': 'cafe', 'biz_reviews': [""The food are ok but the prices are super expensive and the service is annoying, you have to wait a lot of time for the food and the order. There is a lot of fly's around the tables."", 'I have been there a few times, as a resident of Ramat Gan. The only possible reason for you to choose to eat here is if all other options are unavailable. The staff can be nice, but the menu, price, it’s not worth your investment. I gave a few honest tries to this place as I lived nearby, but all the bad things hold water. 1/5.', 'Great Super Salmon Salad. Fresh ingredients. Ordered via Wolt.', ""Expensive food and bad atmosphere. The waiters never see you and you wait forever. I'm never eating there again"", 'Very nice.'], 'business_name': 'קפה הרואה'}"
63,גולדה גן יבנה,"{'displayName': 'גלידה גולדה גן יבנה', 'primaryType': 'ice_cream_shop', 'biz_reviews': ['Tasty an rich in flavors. Well decorated. By a playground where one ca sit and enjoy the ice cream', 'Awesome personnel, yummy selection of ice cream flavors, will definitely cover again', 'Very friendly service and very nice ice cream', 'Nice', 'We came especially from afar and it was indeed worth the experience!! The staff works efficiently, we received courteous and pleasant service.\nThe ice cream is very tasty, I recommend the Belgian waffle, especially high quality :)'], 'business_name': 'גולדה גן יבנה'}"
64,גולדה לוינסקי,"{'displayName': 'Golda', 'primaryType': 'ice_cream_shop', 'biz_reviews': ['Good ice cream place with various different flavours and vegan options. I was impressed by the white-chocolate pistachio ice cream.', '""Golda\'s Ice Cream Haven: A Culinary Journey of Bliss""\n\nIntroduction:\nWelcome to Golda\'s Ice Cream Haven, a place where frozen delights and sheer bliss converge. Join me, an ardent lover of all things ice cream, as I take you on a personal voyage through the enchanting world of Golda\'s. As you step through the doors of this captivating establishment, you\'ll find yourself transported to a realm where ice cream becomes a transcendent experience. Prepare to embark on a tantalizing culinary journey, where the flavors are exquisite, the ambiance is captivating, and each visit leaves an indelible mark on your heart.\n\nAmbiance:\nGolda\'s Ice Cream Haven exudes an ambiance that feels like a warm embrace from an old friend. From the moment you enter, the golden hues and elegant decor create an atmosphere of sophistication and comfort. Soft lighting casts a gentle glow on the plush seating areas, inviting you to settle in and savor the moment. The air is filled with a symphony of laughter, the clinking of spoons, and the contented murmurs of patrons relishing their frozen delights. Golda\'s provides a sanctuary where you can escape the world and lose yourself in the enchantment of ice cream.\n\nA Symphony of Flavors:\nPrepare to have your taste buds dazzled by the unparalleled variety of flavors that await you at Golda\'s. Each carefully crafted scoop is a testament to the artistry and dedication of the ice cream maestros behind the scenes. Whether you\'re a fan of classic favorites that conjure nostalgia or an adventurous spirit seeking bold and innovative combinations, Golda\'s has a flavor to satisfy every craving. From the velvety smoothness of salted caramel to the refreshing tang of seasonal fruit sorbets, each bite is an exquisite symphony of taste that lingers on your palate, leaving you craving more.\n\nUncompromising Quality:\nAt Golda\'s, quality is paramount. Every spoonful of ice cream is a testament to their unwavering commitment to using only the finest ingredients. From locally sourced dairy to hand-selected fruits and indulgent chocolates, each component is chosen with care to ensure a symphony of flavors that delight the senses. The result is an impeccably creamy texture, a perfect balance of sweetness, and an explosion of taste that speaks to the craftsmanship and passion infused into every creation.\n\nPersonalized Service:\nAt Golda\'s, the attentive and passionate staff goes above and beyond to ensure every visitor feels like a cherished guest. They greet you with genuine warmth, ready to guide you through the flavors, provide recommendations, and create a personalized experience tailored to your preferences. Whether you\'re seeking a vegan option, have dietary restrictions, or simply want to explore the menu, the staff at Golda\'s is dedicated to making your visit an exceptional one. Their dedication to providing top-notch service further enhances the overall experience, leaving you with a lasting impression of genuine hospitality.\n\nConclusion:\nGolda\'s Ice Cream Haven is more than just an ice cream shop; it\'s a haven for the senses, a sanctuary where ice cream dreams come true. From the captivating ambiance to the symphony of flavors and the impeccable service, Golda\'s captures the essence of an ice cream aficionado\'s desires. It\'s a place where moments are savored, memories are made, and the simple act of enjoying a scoop of ice cream becomes a transformative experience. Surrender to the magic of Golda\'s, and let yourself be carried away on a culinary journey that will delight and inspire your senses.', 'Great location with great flavors.\nBut the price is a little too expensive for an ice cream.\n\nEnjoy.', 'Terrible service!\nExtremely high prices\nEven if you asked 0.5 kg they might add more by ‘accident’ and charge more for it!', 'Great place, you have to do Levinski market on friday'], 'business_name': 'גולדה לוינסקי'}"
65,גורמה-סבזי,"{'displayName': 'Gourmet Sabzi', 'primaryType': 'restaurant', 'biz_reviews': ['Good food and Persian cuisine is my favourite. For a moment however, I was treated as I don’t belong there.', ""It was a good surprise find an irania restaurant in the middle of Florentin neighborhood.\nIt's very simple place, simple service, so don't expect any place fancy, cause they are much more cozy, which means tasteful food.\nFor vegetarians, they have options for you. Vegans I'm not sure about it.\nThe side salad is included in all dishes.\nI didn't ask, but they probably came before the islamic revolution, cause they have the old version of Iran's flag, and also pictures of Reza and Farah Pahlavi on the wall."", 'Service is excellent and portions are big amazing Persian food best I ate in Israel.\n\nWill definitely come back', 'Nice authentic Iranian restaurant. Good for launch time, located in a ebullient street full with coffee shops and a small market', ""It's extremely mediocre. The food is very plain. It's ok! But doesn't taste special at all, and materials and very very simple. It's 15-20% more expensive then it should be. I won't come here again.""], 'business_name': 'גורמה-סבזי'}"
66,צ'ובו-צמרת,"{'displayName': ""Chubu - צ'ובו"", 'primaryType': 'store', 'biz_reviews': [""I'm not a professional painter at all, I'm just into crafting and experimenting. I feel like at this organized store with it's 2 floors, you can find a great selection of brushes, paint, canvases, pens, pencils, sketchbooks, etc. as a beginner and as a big artist too. The staff was friendly, helpful and the prices are great. I ran in for some sketching and watercoloring equipments and left satisfied. 🤗"", 'Everything you need to create beautiful art! Recommended!!!!', 'A craft store that has everything and anything you can dream of. The equipment is of the highest quality and at the highest level. Ofek is the owner of the store who is always there to advise and gives amazing service. Strongly recommends.', 'As someone who paints and sculpts, I came to the store and they had the best quality products at great prices... I really recommend!', 'A stunning store that has everything! Lovely people who will help you find everything you are looking for'], 'business_name': ""צ'ובו-צמרת""}"
67,ויויאן לוינסקי,"{'displayName': 'Vivian cocktails', 'primaryType': 'bar', 'biz_reviews': ['This is a small place to enjoy nice cocktails in the market. It is a little crowded on the weekends and noisy, not necessarily the best place to have a conversation but it is great to drink and to ha e a good time with friends or your partner.', 'Absolutely in love with this buzzing cocktail place.\nI had The Angry Moroccan - Coriander-infused Tequila, Lime and Chili and LOVED it. The music was soooo on point that I Shazamed it all', 'Great cocktails.\nWonderful location and atmosphere!;', 'Great place to stop for some nice cocktails.', 'Vivian is a must have experience in the Carmel market. Great, tasty and creative cocktails! Strongly recommend!'], 'business_name': 'ויויאן לוינסקי'}"
