business_name,displayName,primaryType,review_1,review_2,review_3,review_4,review_5
בנדיקט פארק הירקון,Benedict Picnic Park,breakfast_restaurant,"This is an outdoor cafe in a lovely spot in HaYarkon Park. They offer online take-out orders, which they say will be ready within 30 minutes. We arrived to pick up our order and discovered that they had not started preparing it, which meant over 20 minutes wait. Only at the end of that wait were we informed that one of the dishes we had ordered was not available (meaning we would have had to wait again to order a substitute.) To top it off - they got our drinks order wrong. Beautiful setting, lots of potential, terrible delivery.","Very nice kiosk in the middle of the park, ate here after doing a stroll and a photoshoot on the trail leading to it from inside the forest to the big Lake to the other trails there is 🌴💕, took me a nice big and crispy burekas with a latte and was extremely good and cheap for a traveler! 🙏❤ would come here again when I stroll around the park! Very friendly staff too and a plug station for charging!!","It's funny that in the largest and most popular park in the center of country there are only ""one and a half eateries"". One is ""half dead"", and this one. And I am very glad that such a surprising lack of competition in such a place has not affected the quality of what it offers to its customers. The exterior is quite simple, I would suggest them to improve it a bit, but there are so many places in Israel with such a ""simple"" approach to decoration and convenience :( ...The variety of food is just ok. Not bad, not good, but just ok. But the prices and taste of the food is quite good.
And most of all, my wife and I liked the main feature of this place. It extremely fits to that place(a large park): ""picnic sets"". My wife and I thought about just trying something to eat, not hoping for anything special, but we were very pleasantly surprised in the end. For 200 shekels, we got a box with quite good different fillings and another one with ... well, in general, you can see it on the photos. Salads, on big and two smaller with different tastes, buns, sauces, pancake, juices. It was set for two. we ate it there, and took the second box home for dinner, so we can say that you can buy it for two meals. As for a picnic snack, it is quite suitable.","249 shekels for a picnic-style breakfast, not even coffee included.
We ate our fill, but breakfast is given to you in a large cardboard box. And if you want to take an eco-basket and a blanket, then it costs another 40 shekels!  Why not take a deposit and give a basket for free for an hour?
This is a very Israeli place: a lot of food with a bun, very expensive, a lot of people.
Regular Benedict is 1000 times better.  The idea is good, but the execution is sad. ""There are no competitors in the area, so we won't even try.""","The food was very tasty, but the wait time quite bad. We ordered and got an estimation of 12:20. Went there on time, they told us that it'll be ready only at 12:30, got back and they told us again to return at 12:45.
Come here only if you have plenty of time and are not in a rush"
בר קפה ירח,בר-קפה | BarCafe,coffee_shop,"Took an ice matcha and a feta salad. The salad was good and the matcha is definitely ceremonial grade. The ambiance is OK, and the service needs some work, as they didn't call me when the matcha was ready for pickup.",Excellent food and coffee. Great atmosphere and service. Recommended,Super dog friendly!,Neighbourhood café in the best sense of the word. Good location. Such a place was missing here.,Very nice place. Great coffee and pastries 😎
גוארדה בע''מ,"G. Beres Marketing LTD - ג' ברס שיווק בע""מ",MISSING,"Without a doubt, the best company in Israel with the upmost quality. Have been a customer with them for years and have never had an issue. Their customer service is very professional and reliable. I have never received a delayed order, and they always go out of their way to make sure my orders are ready by the day I need them. They have been in this line of business for decades, so they are very well experienced.","Great supplier and high value products, 100% answers all of my company needs. Big THANKS for the service for helping set up the cables properly.","Extraordinary service!! if you want a quality cabling products, customer service and logistics you should work with this company !",A fantastic company with great service. Really helped me with all my telecommunication needs,"Great company and a very efficient human services
Definitely going to keep working with g.beres"
גולדה גן יבנה,גלידה גולדה גן יבנה,ice_cream_shop,Tasty an rich in flavors. Well decorated. By a playground where one ca sit and enjoy the ice cream,"Awesome personnel, yummy selection of ice cream flavors, will definitely cover again",Very friendly service and very nice ice cream,Nice,"We came especially from afar and it was indeed worth the experience!! The staff works efficiently, we received courteous and pleasant service.
The ice cream is very tasty, I recommend the Belgian waffle, especially high quality :)"
גולדה לוינסקי,Golda,ice_cream_shop,Good ice cream place with various different flavours and vegan options. I was impressed by the white-chocolate pistachio ice cream.,"""Golda's Ice Cream Haven: A Culinary Journey of Bliss""

Introduction:
Welcome to Golda's Ice Cream Haven, a place where frozen delights and sheer bliss converge. Join me, an ardent lover of all things ice cream, as I take you on a personal voyage through the enchanting world of Golda's. As you step through the doors of this captivating establishment, you'll find yourself transported to a realm where ice cream becomes a transcendent experience. Prepare to embark on a tantalizing culinary journey, where the flavors are exquisite, the ambiance is captivating, and each visit leaves an indelible mark on your heart.

Ambiance:
Golda's Ice Cream Haven exudes an ambiance that feels like a warm embrace from an old friend. From the moment you enter, the golden hues and elegant decor create an atmosphere of sophistication and comfort. Soft lighting casts a gentle glow on the plush seating areas, inviting you to settle in and savor the moment. The air is filled with a symphony of laughter, the clinking of spoons, and the contented murmurs of patrons relishing their frozen delights. Golda's provides a sanctuary where you can escape the world and lose yourself in the enchantment of ice cream.

A Symphony of Flavors:
Prepare to have your taste buds dazzled by the unparalleled variety of flavors that await you at Golda's. Each carefully crafted scoop is a testament to the artistry and dedication of the ice cream maestros behind the scenes. Whether you're a fan of classic favorites that conjure nostalgia or an adventurous spirit seeking bold and innovative combinations, Golda's has a flavor to satisfy every craving. From the velvety smoothness of salted caramel to the refreshing tang of seasonal fruit sorbets, each bite is an exquisite symphony of taste that lingers on your palate, leaving you craving more.

Uncompromising Quality:
At Golda's, quality is paramount. Every spoonful of ice cream is a testament to their unwavering commitment to using only the finest ingredients. From locally sourced dairy to hand-selected fruits and indulgent chocolates, each component is chosen with care to ensure a symphony of flavors that delight the senses. The result is an impeccably creamy texture, a perfect balance of sweetness, and an explosion of taste that speaks to the craftsmanship and passion infused into every creation.

Personalized Service:
At Golda's, the attentive and passionate staff goes above and beyond to ensure every visitor feels like a cherished guest. They greet you with genuine warmth, ready to guide you through the flavors, provide recommendations, and create a personalized experience tailored to your preferences. Whether you're seeking a vegan option, have dietary restrictions, or simply want to explore the menu, the staff at Golda's is dedicated to making your visit an exceptional one. Their dedication to providing top-notch service further enhances the overall experience, leaving you with a lasting impression of genuine hospitality.

Conclusion:
Golda's Ice Cream Haven is more than just an ice cream shop; it's a haven for the senses, a sanctuary where ice cream dreams come true. From the captivating ambiance to the symphony of flavors and the impeccable service, Golda's captures the essence of an ice cream aficionado's desires. It's a place where moments are savored, memories are made, and the simple act of enjoying a scoop of ice cream becomes a transformative experience. Surrender to the magic of Golda's, and let yourself be carried away on a culinary journey that will delight and inspire your senses.","Great location with great flavors.
But the price is a little too expensive for an ice cream.

Enjoy.","Terrible service!
Extremely high prices
Even if you asked 0.5 kg they might add more by ‘accident’ and charge more for it!","Great place, you have to do Levinski market on friday"
גורמה-סבזי,Gourmet Sabzi,restaurant,"Good food and Persian cuisine is my favourite. For a moment however, I was treated as I don’t belong there.","It was a good surprise find an irania restaurant in the middle of Florentin neighborhood.
It's very simple place, simple service, so don't expect any place fancy, cause they are much more cozy, which means tasteful food.
For vegetarians, they have options for you. Vegans I'm not sure about it.
The side salad is included in all dishes.
I didn't ask, but they probably came before the islamic revolution, cause they have the old version of Iran's flag, and also pictures of Reza and Farah Pahlavi on the wall.","Service is excellent and portions are big amazing Persian food best I ate in Israel.

Will definitely come back","Nice authentic Iranian restaurant. Good for launch time, located in a ebullient street full with coffee shops and a small market","It's extremely mediocre. The food is very plain. It's ok! But doesn't taste special at all, and materials and very very simple. It's 15-20% more expensive then it should be. I won't come here again."
גנה,גנה - Gana,coffee_shop,"Delicious carrot pie, good coffee, friendly staff and a great quiet place in a park. Nice!","So all in all this is a great place to enjoy the a wonderful cup of coffee (in Sommer, better order the iced coffee) and good atmosphere.
I highly recommend",It's a great spot for a peaceful outdoor escape. The coffee place served the best coffee and croissants in town with outstanding service. The cozy atmosphere make it perfect for solo work or group meetings. Highly recommended for coffee lovers.,I was in the area visiting my daughter. We came here with my granddaughter and had a wonderful time. The coffee was perfect. I would definitely come back. Everyone had something they enjoyed.,Amazing coffee cart with great pastries and vibes! Staff are super friendly and a great place to hang out! Highly recommend for the whole family.
דב זייף צבעים לבניין,דב זייף - צבעים,hardware_store,The best shop ❤,"The man is a professional!
Excellent attitude, knows what he is doing, very good service
Color matched me by eye.","Tomorrows are really expensive, there is no pricing for the products, they decide instead how much you pay a different price each time. In addition, I bought paint and when I opened it I discovered that it was half empty, I returned to the place and there was no response to the case","A neat and organized store, the cheapest prices in Israel, I checked on the internet.
I want to praise the excellent service of the store manager named Shmulik who gives the best possible service with a smile and patience
with professionalism.
I highly recommend coming and shopping at this store
I only buy all the products in this store
Aaron","Professional, courteous.
The prices are not fixed and there is no pricing for the products"
דליה פרחים,דליה פרחים,florist,Amazing shop and especially the owner! Beautiful and fresh flowers and all bouquets are done with exquisite taste !!! Definitely recommend!!,"A charming and reliable store, accompanying me for years (as long as it was in Ichilov) in happy days and unfortunately also sad ones,
This is an opportunity to say thank you","Professional service, amazing flowers and a team of strong women full of passion for flowers","The most beautiful store in Israel!! The bouquets are perfect, the flowers are fresh. The store owner and her employees are helpful and kind with a constant smile on their faces.
Everything for the customer is always the most beautiful with the exact packaging and the perfect design, exact combination of flowers and colors!!!
Super fair prices.
Highly recommend 🌸","Lovely store, rich and varied offer, super nice and professional salespeople and fair prices. I liked that in addition to the flowers/bouquets there is a large variety of plants in pots, which is a bit lacking in other shops around."
דלתא בני ברק עודפים-,דלתא Delta d center,clothing_store,"Nice branch, usually not very crowdy. Very kind and helpful staff, somehow there are always great discounts.
And if you are not familiar with the brand - they have great quality 100% cotton underwear and pajamas.","For a heavy woman like me this delta, is exceptionally good. It’s got 1x 2xx 3xxx and sometimes 4 xxxx. P.j’s in those sizes are relaxing and very comfortable. Youngsters clothes, too, bras in all sizes, underwear. Here the staff isn’t as nice or assistance is non, but over in Ramat Gan, Merom center the staff is much better and nicer. No they don’t have large sizes.","The Bnei Brak branch at 17:50 is locked in a place that will be open until 21:00. without notice no phone To write in the branch, but they publish numbers. stunning! Only in Israel!","Anyone who is looking for comfortable shoes from Caterpillar and Hash Papis is likely to find what they are looking for, there is another very large selection of shoes of all kinds. We were surprised to find Hash Papis sneakers/walking shoes.
The staff is very kind and Zevlon, who has many years of experience, makes the purchase part of the fun.","A spacious branch, there are enough measuring cells. Pleasant sales. There are 2 branches that are closer to me, but I choose to go there specifically because of the service experience"
דרגסטור פוד דיזנגוף,דרגסטור פוד דיזנגוף,supermarket,This is super very good. Almost all products that customers are looking for are available. Home delivery is also available. Fresh vegetables are available. Every Tuesday 50% and Friday 30% discount on vegetables.,"Nice supermarket with reasonable prices, open 24/7! (As far as I know...).

They have a 30%-off sale on all vegetables on Tuesdays (""Yom Shuk"" = market day) and the quality is relatively good.

They also have deals from time to time (like cheaper price if you buy 2 or just discounts) and also - sometimes you can find brands that don't exist elsewhere (like Alma hard cheese, 400gr for around 16ils!).

Compare prices and see if what you usually buy is cheaper here or not. All in all, it's a good supermarket.","An excellent mini-mart on Dizengoff. Friendly and helpful staff, a good selection of groceries (pretty much anything you'll need), well-ordered premises and quite reasonable prices.",My go to place for groceries,"Great supermarket, cheap prices"
"הבייקרי של תמי בע""מ",Bakery,bakery,"I came here early morning for the first time and it was great surprise. high quality bakery with many fantastic options.. cookies, cakes, pastries and sandwiches. I ate the Chocolate halva pastry and it was so so tasty !
the coffee also was hot and extremely good, exactly how I like it ! the place is very busy in the morning time, service was very welcome and friendly.

You should visit this place..","Near kikar hamidina is Bakery. I think it is a little pretentious , they have a range of cakes and pastries at the usual Tel-Aviv prices. I ordered coffee and a small pastry that cost nis 24. There is a sitting area where you can sit and enjoy your meal or pastry.","Good and varied products. Good prices according to quality and prices in TLV.
Excellent breakfast.
A totally recommended place.","Great selection of freshly baked goods, even had some French specialties like kouign amann and financier. Also provides ready made meals and sandwiches.","Nice place to take things to go. This is true for coffee and a sandwich, or even ready made lunches as shown in the picture. They also have the best pastries and deserts. I personally love the Mille-feuille and the chocolate tartlets."
הגרעין,הגרעין,store,"It have all gardening solutions for sure but it is expensive.
Average 10 shekels for simple plastic connectors.
The other equipment is expensive as well.
The staff is professional and will sort you out quickly though.","Everything you could ever need for your gardening needs, this old and respected establishment caters primarily to the needs of professional gardeners, but even if you are a green thumb novice, the staff will be happy (sometimes even too eager) to help you figure out what you need for your budding nursery. If you are looking for organic hydroponic consumables, this would one of your only options in Tel Aviv unless you are willing to venture out of the city.
Alas, the pricing there is totally meh. Most of the equipment can obtained for much lower online or in other shops.","Everything you may need for your garden or balcony can be found in this small shop. The workers are very helpful and knowledgeable, they can help you choose your fertilizers, organic pesticides and the like.","Very helpful staff, I'm pretty sure you can find there ANYTHING for your garden there!",expensive compares to a hardware store nearby. Service was kind of disappointing.
"הודיס בע""מ-גמא",הודיס Hoodies,clothing_store,MISSING,MISSING,MISSING,MISSING,MISSING
החומוסיה של דני,החומוסיה של דני,store,"Wow! How delicious and surprising it was. Yellow falafel (for those who like it) is delicious, fresh and tasty hummus, chips, fresh salads, lovely service. The place is clean and pleasant.
Hot recommendation to come here or order.","Givataim's hummus, mild hummus, properly seasoned, one that allows you to continue the day with high energy.
And Danny the owner who always makes sure that there is good music, the kind that makes you miss him","The highest level, refined and light hummus without preservatives that cause you to have an unwanted hangover, a delicious Sabih salad and seasoned with great precision! The owners are very pleasant and the place is clean! We will be back soon to taste the other dishes!!","I ate there in the middle of lunch. There was excellent hummus - Paul was really hot and look
Very nice pitas - and most importantly, it was excellently spicy. I was told it was their recipe
Highly recommended shortcut!
I realized that it is also possible to buy their hummus at home.",Great hummus greatly improved from the first time I was about a year ago. Excellent service and courteous attitude. Fair prices for the area. Highly recommend to all hummus lovers
הכוסית-ורמוטריה מקומ,הכוֹסית-ורמוטריה מקומית,bar,"Found this place by chance and were really happy to be pleasantly surprised.
We tried several small dishes and all of them were absolutely amazing. Also, the drinks were made perfectly and the service was great and friendly. We arrived on a Friday afternoon and there were a lot of free tables on the sidewalk as well.",Good selection of Vermouth and tasty food,"Extremely expensive for the portions size, but food tasted good","The service was fine
But it took a long time for the dishes to arrive at the table
Even when they arrived then it was in a trickle and there was no correct and good synchronization.
If you come for a drink, it flows, but it is not suitable for everyone.
The food was delicious, fresh and good seafood
We drank natural white wine, it was delicious (not for everyone)","I have never written a bad review about a place but here it was already excessive.
Our waitress also happened to be the AHMS of the place and we received very bad service from her, she treated us with disdain, spoke in a repulsive tone, made us feel like we were lying and moaned with us and didn't even apologize after all.
When we asked to speak to the AHMShit I was shocked that she was also the AHMShit and I realized that the situation was really bad.
Her service ruined our entire meal and evening.
The waitress (unfortunately I don't remember her name but she was really excellent) who handed us the bill at the end of the meal, tried to cheer us up and compensated us with chasers at the end but unfortunately it was already too late after the disgraceful service we received from the AHMShit."
"הכל לתעשיה בע""מ-מימו",All industrial-technical equipment Ltd.,hardware_store,Very good hardware store. They have most everything I need. Really good prices and always service with a smile.,"Super professional, friendly and the one properly stocked place in the entire area.","Great service and advice, they brought me some simple solutions to complicated problems","I needed a faucet part. I was in and out in five minutes, and half of that was because I had to pay with credit. An institution store that every neighborhood needs.",An old store. A large and partially lit space containing construction and renovation equipment for both contractors and the general public.    Most of the products are basic but the variety is wide. The lack of design gives an authentic feeling of a fair and affordable place. No parking. I only buy construction products there.
המאפיה אלנבי,The Bakery,bakery,"I'm a Singaporean who visited Israel for the first time.
If you want to eat solid bread at affordable prices, please visit this place! 100% recommend. This bakery served really fresh and nice pastries and pizza bread.
Drinks were delightful too.","Nice and original bakery in Tel Aviv with an original way of getting the product. A self service way that makes you feel home!
Coffee is also good.",10 shekels for a coffee and baked item is a good deal. Great taste and selection. Their breads are really good as well.,"What a wonderful bakery! I'm almost angry at myself for not finding this place until my last day in Tel-Aviv. Although we weren't entirely sure what we were getting, the staff were very outgoing and helpful, pointing us to some of the most delicious stuff I had eaten during my entire trip to Israel, which was not an easy feat.

And though I can't remember what it was I ate, just get whatever. I'm sure it's all great. I'd love to check this place out again next time I visit!",This is basically a takeout bakery but there is a nice salad bar and sandwiches are also available. The baked goods were delicious and the salad was fresh. I wouldn’t consider it a cafe but there are a few stools outside.
המקום הראשון בבורסה,Sabih Frishman Branch Exchange,restaurant,"Delivery review:
We have ordered two ""sabih complete"" in a pita bread (one was a GF pita) and two falafel balls and two potato egg rolls (""Cigars"") on the side. Everything we have ordered arrived well and quickly. The food itself was sooooo delicious and fresh!! We enjoyed every bite of it. Very much recommended branch of Sabih Frishman.",Amazing and kind people ! Very delicious sabih.,"Very good Falafel, nice staff and everything seems fresh and clean. Highly recommended",Best falafel in town!,"The vegetables are fresh, very courteous service."
המתמיד 10 רמת גן,Ha-Matmid St 10,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
הסטוק ב.ס.ר פתח תקוו,הסטוק מגדלי ב.ס.ר,home_goods_store,"We came especially to see what the talk is about, nothing special and not the cheapest either, there is a variety of products but in my opinion Max Stock is cheaper, the service is reasonable","Petah Tikva branch stock store was built inside the new business area in Sir City.
The store is large and spacious, there is a wide variety of different items in everything related to the home. From bathroom accessories to work tools. Everything is there.
And for the most part, the products change frequently, and what you saw a week ago may no longer be there when you come a week later. There is a super cart to collect the goods. There is no help from a service or sales representative to answer your questions, you are alone with yourself.
I was in the early morning.
There were individual customers.
One cashier. went fast
Overall very reasonable.","Nice store but the staff is terrible, maybe because I arrived at 5:00 p.m., I asked for help from the service staff and instead of helping, they just pretended they didn't see or hear and ran away to another place, the cashier did a favor by moving the products, I said goodbye and she gave me a very angry look And I really didn't do anything.
In short, a service experience beyond all criticism","We arrived on Saturday at 20:00 as listed in the hours of operation and the store was closed.
We waited until 20:30 and the store was still closed.
It's a shame they don't take care to update the hours of operation and let customers arrive in vain.",I didn't like a small branch without things
הקערה-חנות פרחים,הקערה,florist,"Amazing service, blueberries, raspberries, cherries - all at a good price and very tasty. Highly recommend🙆🏼‍♀️","I would like to express my deep gratitude to the luxurious flower shop for such beautiful flowers and plants!!! Incredibly beautiful and always fresh!!! The order was accepted quickly and delivered to the right place on time. Come to this fabulous place, you will be delighted with the huge assortment of flowers and plants and the atmosphere that reigns there. Thank you for your work. I wish you success and prosperity.",Lovely shop. Quality fruits. Beautiful flowers. The quality of everything is top notch,Special and high-quality flowers at a reasonable price. The service is courteous and pleasant.,MISSING_REVIEW
התאומים בשוק,מינימרקט התאומים,grocery_store,MISSING_REVIEW,MISSING_REVIEW,MISSING_REVIEW,MISSING_REVIEW,MISSING_REVIEW
ויויאן לוינסקי,Vivian cocktails,bar,"This is a small place to enjoy nice cocktails in the market. It is a little crowded on the weekends and noisy, not necessarily the best place to have a conversation but it is great to drink and to ha e a good time with friends or your partner.","Absolutely in love with this buzzing cocktail place.
I had The Angry Moroccan - Coriander-infused Tequila, Lime and Chili and LOVED it. The music was soooo on point that I Shazamed it all","Great cocktails.
Wonderful location and atmosphere!;",Great place to stop for some nice cocktails.,"Vivian is a must have experience in the Carmel market. Great, tasty and creative cocktails! Strongly recommend!"
ורדינון דיזנגוף-גמא,Vardinon,home_goods_store,"Beautiful store, great products, a bit pricey",great service and high quality merchandise  .,"I waited and waited to be served. She made an account for the customers. She gave service to the customer, then she did a club and then someone entered the store while I was there waiting. And I told her sorry, can I have some feather pillows, she went to get him and give him service
I don't remember being from Dunedin..
A. Bring another shameful employee. Probably on Friday.
B. Note that the worker knows how a queue works.","I received great service from Yehudit and Bina as soon as I entered the store they already had a smile on their face and gave me great service!!
The store was clean and tidy and the most important thing is that it was simply a great shopping experience, so thank you very much :)","Very nice service. Unfortunately, I didn't have what I was looking for (""hug pillow""), but the seller offered me a hug that I'm debating about to this day (two weeks later)."
חברת חשמל לישראל,Israel Electric Company - Dan district,MISSING,Hi everybody. I've been trying to find a telephone number of the company. I am living abroad. Can someone help ?,"Tried calling a number of times, every time after a half hour they hang up, i tried the call back service and the guy hung up as soon as calling me back. Terrible customer service even by Israeli standards",Nice,Impossible to navigate,Average service
חברת פרטנר תקשורת בע,Partner,cell_phone_store,I visited this company in attempt to do business with them. It seemed like a great place to work for and everything looked nicely done and modern. Very similar to US companies,"Pretty good service, nothing special. Nice building though.","Great environment, nicely, clean and peaceful",The worst company with outrageous eighties style scam artist sales tactics,Nice building. new fast repairs service
חצר גולדמן,Goldman Court,restaurant,"I'll start with the service , the service was horrible but the staff was nice .... first we were asked about ordering appetizers we ordered few appetizers and the massets, but the waitress didn't take our order for main dishes , only after we finished the appetizers we ordered the main dishes ...that made us wait like 30 min  until the means came...
If we needed a waitress, we had to search for one for a good few minutes each time.

The food:
The food was bad. From start to end.
Sinta - badly seasend.
Octopus saled - overcooked Octopus tasted like shoe sole...
The bread sticks were nice, though.
Mains dishes - sea food tasted like it was frozen , broken / wotery saouse on the pasta , dry chicken, under cooked kabab...

The prices are not connected to the food quality/service level.

There was a cockroach at the restrooms.

Nice view to the sea.
Bottom line: there are very good restaurants in the area better eat at other place...and come here for coffe for sunset view","This restaurant has an absolutely beautiful view of the TLV sea and that’s why I gave it 5 for atmosphere. We went for breakfast and they have a menu that is 115 NIS/ person for eggs of some kind and sharing dipping sauces and cheeses for the table (also includes hot and cold drinks) Overall a very nice place- definitely good for tourists wanting to eat with a view. My photos include the shakshuka meragez, and the eggs Benedict. Also a photo of the dipping tray.","Amaizing please, really good prices.
Very tasty drinks and first meals, the zucchini balls with yogurt is so delicious.
The out view is amazing, on the beach with great music.

And dessert ... WOW !!!!!

Waiters so kindly.
High recommend.

More then five stars...","One of my favorite places to visit for lunch in Tel Aviv.

You just can't beat the view from the outdoor deck, with food to match this place is a must do.

You can order a trio (or more) of your favorite salads and sauces that go wonderfully with the fresh bread.

My all time favorite dish is the seafood pasta. The noodles are homemade and as fresh as the seafood.","Arrived for Friday lunch, only myself (pregnant) with my 2 year old.
The restaurant was nearly empty.
Sat outside and at some point my 2 year old started crying, as toddlers often do. I was trying to calm her down softly and after 2-3 mins a lady named Rania (looked like a shift leader) approached me telling me it bothers other diners.
Fuming, as any parent would, I asked her if she wants me to leave. She showed no empathy or understanding and just repeated it bothers other diners (place nearly empty, no one complained) and suggested I try other methods of soothing my baby.
This is another level of pretence and rudeness. Assuming the lady herself does not like children or knows anything about parenting.
My baby stopped crying shortly after she left and another lovely young waitress approached us with an apologetic look and ice cream we haven't ordered in order to ""compensate for what happened"" - an initiative I'm assuming did not come from her manager Rania as we received no further words from her nor a goodbye when leaving.
Food was excellent. Staff - all lovely apart from Rania.
We live in London and never did we witness such rudeness from a service provider who in the U.K. would be fired for that."
חשמל ר מ ז,חשמל רמז,electronics_store,"After I bought a home heater that worked for less than two weeks, the heater was replaced in the store with a ""new"" one, but unfortunately the new heater was faulty and did not work. Sells defective products and as soon as something from the customer does not suit him becomes hostile towards the customer.
I will certainly not purchase any more products from him and I definitely recommend staying away from shopping at this store.",excellent,MISSING,MISSING,MISSING
"טבע ספורט קסטל בע""מ","טבע קסטל בע""מ - סניף גן העיר ת""א",store,Really bad customer service,"It's just a suspicion, but I want to warn you: I ordered a product of theirs and it looked like it was opened before it got to me, (it's a jar with powder) the quantity was less than in the pictures and the sticker wasn't stuck properly.
I contacted the manufacturer, he refused to look into the matter, I am considering contacting the consumer protection body. If you also come across such a case, contact me.","I saw a product on the website. I came to buy.
I see the price is 20% higher
They tell me, the prices of this website are on the website
I said: I came especially but it's okay, here I am buying on the website
They told me: No, it's a different stock
😂😁😂
I bought expensively because I had to
I will not buy there again",Harassing the customer instead of getting back to him with a serious answer in front of her,Our home store.
טוני ווספה,Tony Vespa,pizza_restaurant,MISSING,MISSING,MISSING,MISSING,MISSING
טוני ווספה גבעתיים,Tony Vespa,pizza_restaurant,"Very nice pizza to eat on spot.
Huge toppings selection, very light dough.
Anyone can find a pizza he will like.

I think that's its not very successful in a delivery.

Conclusion,
If you are nearby grab a bite, don't order.","Very expensive pizza, doest worth it.
2 stars for being open after midnight.","Good pizza, the place feels a bit more special than other pizza places area. On a summer evening you can chill out with a beer outdoors, while kids are having their pizzas. I think the price is above average too though.","Well, you can’t go wrong with them.
Tasty dough, great toppings and everything is fresh.
I love how they use fresh vegetables and leaves it simple with a good sauce and flavors. Crispy base and not too thick.
Fun to eat and light compared to others.",Good pizza. Fresh toppings. Very tastey. They make it in large treys and you can select the slice sizes you want. Recommend if you're in the mood for some cheesey cuisine.
טיב טעם רשתות סירקין,Tiv Taam,supermarket,"The branch has just reopened after renovation.
It has given a brand-new look to the previously shabby appearing place, which now finally adds good value to the shopping experience. Everything appears tidy and sorted. If the prices of so many products would become more attractive for the customers too, would round off the customer experience. About service, there expectations should better be lowered from the start, as it still behaves more a self-service model store, except the deli-counters. The fact that it is open every single day, makes this liitle supermarket absolutely convenient","A haven in the city, to get some good non kosher stuff like sausages, ham, sea food etc. They have an interesting beer selection as well. Too bad it's expensive and the staff could be nicer but what can you do. The location is great but there is no parking around.",Good store with wide choice of products. Mostly food including a wife range of non-kosher items. Most of staff speaks Russian as in other branches. Most visit if you don't stick to Israeli diet.,"Open 24/7, high prices for pretty much everything. Good selection of cold cuts and cheese at the deli, and one of the only places where you can get bacon and shrimps in Givatayim. Staff is always polite but usually slow.","Open 7 days a week, and has items you won't find in a normal supermarket. Also a good collection of alcohol.
Only downsides are that it doesn't sell in bulk and that a few odd things are missing.

I like this place and shop here often."
טכנו ויליאם,טכנו ויליאם,store,"Very expensive!!
Prices are 2-3 times higher than other shops.",William the owner champion. Years of knowledge. Always with an attentive smile and ready to help. Cheaper prices than the chains. Highly recommended,Always have what I need. Durable products. They know what I need even though I have no idea. professionals,"A huge selection of everything you need to repair at home.
I called to check if he was coming to make repairs, I got an answer that yes, but there is no reason why I shouldn't do it myself.
I arrived at the place and bought the broken part + a detailed explanation of how to fix it yourself.

General William is out","Professionals and services above and beyond! We came to duplicate keys for the clinic, they enlarged them and even came with us to the clinic to check that it really works as it should and opens, and if all this is not enough, they also brought us two spare keys at their expense!"
יונתן טל בעמ,יונתן נפתלי,lawyer,MISSING,MISSING,MISSING,MISSING,MISSING
כל בו עלית,כל בו עילית,store,MISSING,MISSING,MISSING,MISSING,MISSING
כלל ב.בריאות ה.ק,Clal Insurance,MISSING,"All I've been trying to do in the last five months is withdraw the compensation money, it's as if they're not interested in releasing it now after times I've waited on the phone for over 40 minutes, they answer me, I tell them the problem, they tell me a second, I'm going to find out, and after about two minutes, the call hangs up, one thing I I am sure that I am canceling all the insurances I have with you
Apart from that, your website and the app are also riddled with bugs","The worst company ever, do not even think about it!!! I had an experience with them for my car insurance. Unfortunately, I had an accident, and that's when I knew how bad their service is!!!!! Their agents are not professional at all, they tell misleading information, they are not kind, just make the experience more awful. Additionally, there are literally scammers! They will find a way to take money from you for no reason!!
I will tell everyone I know about my awful experience and I will make sure no one I know will ever deal with Clal.","This is the worst experience of buying travel insurance ever. You can’t buy it online, because there’s a bug on website. You can buy it by the phone in any language except Hebrew. Then they say that you can easily use the app, which doesn’t work and to use Max card, which also doesn’t work, to pay in any insurance situation. They work only couple of hours per week and still in an immigrant country no one there knows any language except Hebrew. Just a shitlole, not an insurance company, which supposed to help people.",The worst service in my life I have ever had. Very pushy. Manipulative.One customer assistant named Adi Ben Hamu was very rude to me. She insulted me and shouted at me when I claimed my rights to cancel the insurance. I almost had a heart attack while talking on the phone to these people. Awful.,"Service is ok, didn’t have any problems with the company."
לאטי משה ובניו,"לאטי משה ובניו,אטליז מהדרין",wholesaler,"Definitely affordable prices
good service
I bought a frozen box (NIS 55) 4 stars.",Fresh and high-quality meat. Really good prices. Their ready-made kebab is the tastiest there is. Comes to hope just for him,"Hello everyone
Yesterday was a gathering night with meat lattes, we were pampered like never before. High quality, plentiful, and delicious, highly recommended.
Ceramic mop
Rishon Lezion branch
Thank you very much.","Renovated, clean store, premium products with the best kosher, fast and kind professional service, there is an option for deliveries.",Butcher if a large selection of fresh poultry meat and frozen fish and excellent service and above
